X,Y
1,3.749274993
1,4.61708802
1,8.994351039
1,4.048284359
1,6.713150217
2,10.65960988
2,6.15261429
2,8.604553835
2,14.40025482
2,10.39942981
2,4.533695658
2,10.72877142
2,10.97992737
2,10.53719368
2,12.62609082
2,10.12078043
2,9.899737826
2,10.51254402
2,11.10289978
3,20.08172724
3,15.03408972
3,25.21580509
3,16.53864637
3,20.58671057
3,14.0593516
3,14.59963242
3,5.945038055
3,14.62650725
3,13.66811143
4,19.21611802
4,14.74609337
4,27.80148578
4,22.93398231
4,17.41063215
4,29.87646173
4,18.38578236
4,28.46320353
4,29.85022271
4,21.03446548
4,30.2393121
4,19.57519843
4,16.1188536
5,32.9275476
5,22.39054707
5,25.0082476
5,25.42948237
5,29.06883266
5,29.39564112
5,23.9111751
5,28.27852725
5,19.51934082
5,37.74880451
5,17.55206996
5,28.32105954
5,30.37849219
5,33.68886207
5,34.68502491
5,22.19868705
5,26.42374822
5,21.36337633
5,18.17703273
5,19.29281481
5,14.45354743
